ts_code,name,换手率(%),换手率6个月比3年,超额收益均值(%),追踪误差(%),超额收益趋势斜率(万分之),行业内成交额占比(%),行业内成交额占比(百分位),latest_discount_rate,annualized_volatility,max_drawdown
159637.SZ,新能源车龙头ETF,1.94,0.44,3.64,1155.37,0.0323,0.12,38.97,-0.0206653225806452,29.935280656238756,0.5488236516847977
159767.SZ,电池龙头ETF,1.39,1.44,4.85,1235.86,0.024,0.2,48.21,-0.0140093395597064,31.209731432218025,0.5593658640504215
159840.SZ,锂电池ETF,14.31,0.66,4.71,1194.97,0.0262,1.03,76.41,-0.0103064822348792,32.008237706912816,0.5670401652288486
159757.SZ,电池30ETF,1.59,0.6,5.03,1192.29,0.0217,0.12,38.46,-0.0159022210540149,31.50943116386725,0.5575630821532993
159755.SZ,电池ETF,15.43,1.23,4.61,1226.51,0.0182,1.8,84.62,-0.0123832283293505,32.130936024886346,0.5670964049656205
516390.SH,新能源汽车ETF,3.61,0.65,3.36,1176.69,0.0354,0.15,43.08,-0.0085194565968224,29.847055925975805,0.5645181905556164
516660.SH,新能源车ETF基金,0.48,0.14,2.76,1146.88,0.0413,0.02,16.41,0.0036563071297989,29.45419366169861,0.5677172135512023
159824.SZ,新能车ETF,1.08,0.31,3.67,1181.71,0.0329,0.03,21.03,-0.0065420560747662,29.64341887703807,0.5546364787065399
159806.SZ,新能源车ETF,0.95,0.45,3.35,1175.17,0.0332,0.03,23.59,-0.0080183276059563,29.830368404192324,0.5637853031696969
515030.SH,新能源车ETF,1.14,0.51,3.13,1185.37,0.0322,0.03,23.08,-0.0051819941312356,30.17104978913688,0.5686724266174142
515700.SH,新能车ETF,24.46,0.51,3.48,1166.76,0.043,0.76,73.33,-0.0018274682535962,30.37588783557825,0.5601549910650985
501057.SH,新能源车LOF,0.46,0.66,2.93,1217.82,0.0443,0.02,18.46,0.0084368625996663,26.71230775949292,0.5422000453607808
501058.SH,新能源车LOFC,0.09,0.73,2.86,1211.79,0.0372,0.0,7.18,0.0075145328229121,26.858701957646996,0.5415478269283909
161028.SZ,新能源车LOF,0.02,0.53,2.71,1164.45,0.0419,0.0,3.59,0.0088582677165355,27.055937271625428,0.5487949196610455
